id,timestamp,user_id,session_id,user_message,chatbot_response,context,user_sentiment
1,2025-06-24T22:01:27.194058+00:00,0001,5079f72b-8edb-4ff3-a2f6-3273458ab18f,I am not feeling well,"I'm sorry to hear you're not feeling well. That can be really tough. Sometimes just acknowledging that feeling is the first step. Is it a physical thing, or more of an emotional weight you're carrying? Either way, I'm here to listen.",,0.0
2,2025-06-24T22:01:44.606209+00:00,0001,5079f72b-8edb-4ff3-a2f6-3273458ab18f,I just had a breakup,"Oh, I'm so sorry to hear that. Breakups are incredibly painful. It's like a part of you is suddenly missing, and navigating that void can be really disorienting. Allow yourself to feel the sadness, the anger, whatever comes. It's a natural part of the healing process. Right now, be gentle with yourself. Think of it like tending to a wound. What do you need most in this moment? Comfort? Distraction? Maybe just a good cry?",,0.0
3,2025-06-24T22:02:23.989796+00:00,0001,5079f72b-8edb-4ff3-a2f6-3273458ab18f,I cry a lot like a little baby,"There's absolutely nothing wrong with that. Crying is a healthy and natural way to release pent-up emotions. Think of it as your body's way of flushing out the pain. Let it flow. Don't judge yourself for it. In fact, sometimes a good cry is exactly what you need to start feeling even a tiny bit better.",,-0.1875
4,2025-06-24T22:22:31.213407+00:00,0001,5079f72b-8edb-4ff3-a2f6-3273458ab18f,dil tut gya ji,"""Dil tut gaya ji"" - I understand. A broken heart. That pain is real, and it's okay to feel it deeply. It sounds like you're really hurting right now. Perhaps you can tell me one thing that has helped you feel comforted in the past when you were feeling down? It doesn't have to be a big thing.",,0.0
5,2025-06-24T22:23:10.141975+00:00,0001,5079f72b-8edb-4ff3-a2f6-3273458ab18f,cheat ki si mennu meri heer,"""Cheat kiti si mennu meri heer"" - I hear you. Betrayal cuts so deeply. It's a violation of trust, and it's completely understandable that you're feeling immense pain. That kind of wound takes time to heal. It's okay to feel angry, hurt, betrayed - all of it. Don't try to push those feelings down. Let them surface and acknowledge them. You deserve to feel them. Right now, try to focus on your own strength and resilience. This doesn't define you. You are worthy of love and respect. Take a few deep breaths, and remember that you will get through this, even though it doesn't feel like it right now.",,0.0
6,2025-06-24T22:23:36.771378+00:00,0001,5079f72b-8edb-4ff3-a2f6-3273458ab18f,shukriya ji aap toh vadde sweetu ho ji,"Tuhada dhanvaad ji! (Thank you!) I'm glad I could offer some comfort. Remember, healing takes time, so be patient and kind to yourself. And please know I'm here if you need to talk more.",,0.0
7,2025-06-24T22:26:47.263872+00:00,0077,c8b70193-9002-4893-a1e6-2eeb72f67b75,My granny passed away,"I'm so sorry to hear about the loss of your Granny. That's a deeply painful experience. It's okay to feel however you're feeling right now - sadness, confusion, maybe even disbelief. Grief is a complex and personal journey, and there's no right or wrong way to navigate it. Losing someone like a Granny can leave a huge hole in your life. Allow yourself the time and space to grieve, to remember her, and to feel all the emotions that come with this loss. Don't be afraid to lean on your support system - family, friends, or anyone who can offer a comforting presence. Just know that you're not alone in this.",,0.0
8,2025-06-24T22:27:10.107099+00:00,0077,c8b70193-9002-4893-a1e6-2eeb72f67b75,I'm trying but it feels so heavy,"""Heavy"" is such a perfect way to describe it. Grief really does feel like carrying a weight, doesn't it? It's not something you just shake off. It's understandable that you're trying, and it's also okay if trying feels like all you can manage right now. The heaviness might be a mix of sadness, missing her, and maybe even the weight of all the memories you shared. It's okay to just sit with that heaviness for a little while. You don't have to force yourself to feel better or to ""get over it."" Acknowledge the weight, be gentle with yourself, and allow yourself to feel what you need to feel. Sometimes, just acknowledging the weight is the first step in learning to carry it.",,-0.2
9,2025-06-24T22:28:22.914964+00:00,0037,999a6c86-9713-4d14-8008-6ab8dbf0f49f,I'm so happy todayyy yayyyyy,"That's fantastic! Embrace that feeling and let it radiate through your day. What's making you so happy? Soak it in! ✨",,0.8
10,2025-06-24T22:30:01.123456+00:00,0002,a1b2c3d4-e5f6-7890-gh12-ijklmnopqrst,I feel like no one understands me,"That feeling of being misunderstood can be incredibly isolating. You're not alone in that experience, even though it may seem like it. Would you like to share more about what's making you feel this way?",,-0.3
11,2025-06-24T22:30:35.654321+00:00,0002,a1b2c3d4-e5f6-7890-gh12-ijklmnopqrst,I just want to disappear sometimes,"I'm really sorry you're feeling this way. Please know that your presence matters. You are valued, and the world is better with you in it. You're not alone, and I'm here to listen, judgment-free.",,-0.6
12,2025-06-24T22:31:01.234567+00:00,0003,bbccdd11-2233-4455-6677-8899aabbccdd,My friends forgot my birthday,"That must have felt incredibly hurtful and lonely. Your feelings are valid. Sometimes people get caught up in their own lives, but that doesn't mean you're not important. How can I support you right now?",,-0.4
13,2025-06-24T22:31:45.987654+00:00,0004,ffeeddcc-bbaa-9988-7766-554433221100,Just got selected for my dream job!,"Congratulations!! That's amazing news! 🎉 You’ve worked hard, and it’s paying off. What’s the first thing you're going to do to celebrate?",,0.9
14,2025-06-24T22:32:20.555555+00:00,0005,11223344-5566-7788-99aa-bbccddeeff00,I don't think I'm good enough,"I'm really sorry you're feeling this way. Self-doubt can be overwhelming, but your worth isn't measured by your lowest moments. Let's talk about what’s making you feel this way—you don’t have to carry it alone.",,-0.5
15,2025-06-24T22:33:01.444444+00:00,0006,aabbccdd-eeff-1122-3344-556677889900,I finally finished my thesis!,"Amazing! You should be so proud of yourself! That’s no small achievement. How are you planning to unwind after all that hard work?",,0.85
